"player","team","year","war","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","gidp","hbp","sh","sf","ibb","pos","awards","war_to_2","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","dummy_team_change","position","age","years_contract","contract_value","average_annual_contract_value","years_experience","id_contract"
"Adam Ottavino","NYY","2019",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP/SU8",33.8,3,27000000,9000000,0,32
"Adam Ottavino","BOS","2021",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP/SU8",35.8,3,27000000,9000000,2,32
"Adam Rosales","TEX","2014",0.8,56,181,164,20,43,7,0,4,19,4,2,13,42,0.262,0.328,0.378,0.706,97,0.335,107,62,5,3,0,0,0,"3/5H4D6",0,0.8,56,181,164,20,43,7,0,4,19,4,2,13,42,0.262,0.328,0.378,0.706,97,0.335,107,62,5,3,0,0,0,1,"2B/SS/3B",31.2,1,750000,750000,0,37
"Adam Rosales","TEX","2015",-0.1,53,125,114,14,26,4,0,3,7,4,4,10,30,0.228,0.296,0.342,0.638,72,0.283,71,39,4,1,0,0,0,"345H/17D",0,-0.1,53,125,114,14,26,4,0,3,7,4,4,10,30,0.228,0.296,0.342,0.638,72,0.283,71,39,4,1,0,0,0,0,"2B/SS/3B",32.2,1,900000,900000,1,38
"Adam Rosales","SDP","2016",2.3,105,248,214,37,49,12,3,13,35,4,0,29,88,0.229,0.319,0.495,0.814,118,0.345,111,106,2,1,0,4,2,"54H6/739D",0,2.3,105,248,214,37,49,12,3,13,35,4,0,29,88,0.229,0.319,0.495,0.814,118,0.345,111,106,2,1,0,4,2,1,"2B",33.2,1,672362.379948466,672362.379948466,2,39
"Adam Rosales","2TM","2017",-0.7,105,312,289,25,65,16,0,7,36,1,2,11,100,0.225,0.26,0.353,0.613,62,0.267,56,102,6,4,4,4,1,"65H4/37D",0,-0.7,105,312,289,25,65,16,0,7,36,1,2,11,100,0.225,0.26,0.353,0.613,62,0.267,56,102,6,4,4,4,1,1,"2B/SS/3B",34.2,1,1250000,1250000,3,40
"Adam Wainwright","STL","2021",0.2,33,74,57,1,7,2,0,0,4,0,0,3,25,0.123,0.167,0.158,0.325,-9,0.166,-35,9,2,0,14,0,0,"1/H",3,0.2,33,74,57,1,7,2,0,0,4,0,0,3,25,0.123,0.167,0.158,0.325,-9,0.166,-35,9,2,0,14,0,0,0,"SP/SP1",39.9,1,8000000,8000000,1,43
"Adam Wainwright","STL","2023",0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-129,0,0,0,0,0,0,"1/HD",0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-129,0,0,0,0,0,0,0,"SP",41.9,1,18615381.6220844,18615381.6220844,3,45
"Adam Warren","SDP","2019",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",32,1,2500000,2500000,6.036,46
"Adeiny Hechavarria","2TM","2019",0.8,84,221,203,34,49,12,1,9,33,3,1,14,48,0.241,0.299,0.443,0.742,92,0.33,99,90,3,3,0,1,0,"46H/5D",0,0.8,84,221,203,34,49,12,1,9,33,3,1,14,48,0.241,0.299,0.443,0.742,92,0.33,99,90,3,3,0,1,0,1,"SS",30.3,1,3000000,3000000,6.06,48
