"player","position","year","team","team_whole_name","age","years_experience","id_contract","contract_value","average_annual_contract_value","dummy_team_change","years_contract","initial_contract_year","reference_end_contract_year","awards","MVP_price","CYA_price","SS_price","team_g","team_w","team_l","team_divs","team_playoffs","team_games_over_500","team_pnnts","team_ws","team_hof","team_r","team_ab","team_h","team_hr","team_ra","team_w_l_percent","team_ba","team_era","war","war_to_2","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","gidp","hbp","sh","sf","ibb","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","pos","leader","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","leader_to_2"
"Adam Laroche","H","2014","WSH","Washington Nationals",34.8,10,26,24000000,12000000,0,2,"2013","2014",0,0,0,0,162,96,66,1,1,30,0,0,0,686,5542,1403,152,555,0.482,0.253,3.88,2.4,5.76,140,586,494,73,128,19,0,26,92,3,0,82,108,13,2,0,8,9,0.259,0.362,0.455,0.817,124,0.365,127,225,"3/HD",0,19600,343396,244036,5329,16384,361,0,676,8464,9,0,6724,11664,169,4,0,64,81,0.067081,0.131044,0.207025,0.667489,15376,0.133225,16129,50625,0
"Adam Laroche","H","2015","CHW","Chicago White Sox",35.8,11,27,25000000,12500000,1,2,"2015","2016",0,0,0,0,162,76,86,0,0,-10,0,0,0,622,5533,1381,136,701,0.504,0.261,3.75,-0.5,0.25,127,484,429,41,89,21,0,12,44,0,0,49,133,10,4,0,2,0,0.207,0.293,0.34,0.634,78,0.292,80,146,"D3/H1",0,16129,234256,184041,1681,7921,441,0,144,1936,0,0,2401,17689,100,16,0,4,0,0.042849,0.085849,0.1156,0.401956,6084,0.085264,6400,21316,0
"Adam Moore","NH","2014","SD","San Diego Padres",30.2,0,28,689449.635766739,689449.635766739,1,1,"2014","2014",0,0,0,0,162,77,85,0,0,-8,0,0,1,535,5294,1199,109,577,0.464,0.251,3.92,-0.1,0.01,9,12,10,1,2,1,0,0,1,0,0,2,5,0,0,0,0,1,0.2,0.333,0.3,0.633,86,0.262,59,3,"/H2",0,81,144,100,1,4,1,0,0,1,0,0,4,25,0,0,0,0,1,0.04,0.110889,0.09,0.400689,7396,0.068644,3481,9,0
"Adam Moore","NH","2018","TB","Tampa Bay Rays",34.2,2,30,694114.573020403,694114.573020403,1,1,"2018","2018",0,0,0,0,162,90,72,0,0,18,0,0,0,716,5475,1415,150,646,0.468,0.256,4.36,0,0,8,20,18,2,4,1,0,1,2,0,0,1,7,0,0,1,0,0,0.222,0.263,0.444,0.708,92,0.343,117,8,"/2H",0,64,400,324,4,16,1,0,1,4,0,0,1,49,0,0,1,0,0,0.049284,0.069169,0.197136,0.501264,8464,0.117649,13689,64,0
"Adam Ottavino","NH","2019","NYY","New York Yankees",33.8,0,32,27000000,9000000,1,3,"2019","2021",0,0,0,0,162,103,59,1,1,44,0,0,3,943,5583,1493,306,739,0.57,0.266,3.65,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Ottavino","NH","2021","BOS","Boston Red Sox",35.8,2,32,27000000,9000000,1,3,"2019","2021",0,0,0,0,162,92,70,0,1,22,0,0,0,829,5495,1434,219,749,0.519,0.267,3.91,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Rosales","NH","2014","TEX","Texas Rangers",31.2,0,37,750000,750000,1,1,"2014","2014",0,0,0,0,162,67,95,0,0,-28,0,0,0,637,5460,1400,111,773,0.476,0.26,4.24,0.8,0.64,56,181,164,20,43,7,0,4,19,4,2,13,42,5,3,0,0,0,0.262,0.328,0.378,0.706,97,0.335,107,62,"3/5H4D6",0,3136,32761,26896,400,1849,49,0,16,361,16,4,169,1764,25,9,0,0,0,0.068644,0.107584,0.142884,0.498436,9409,0.112225,11449,3844,0
"Adam Rosales","NH","2015","TEX","Texas Rangers",32.2,1,38,900000,900000,0,1,"2015","2015",0,0,0,0,162,88,74,1,1,14,0,0,0,751,5511,1419,172,733,0.477,0.26,4.24,-0.1,0.01,53,125,114,14,26,4,0,3,7,4,4,10,30,4,1,0,0,0,0.228,0.296,0.342,0.638,72,0.283,71,39,"345H/17D",0,2809,15625,12996,196,676,16,0,9,49,16,16,100,900,16,1,0,0,0,0.051984,0.087616,0.116964,0.407044,5184,0.080089,5041,1521,0
"Adam Rosales","NH","2016","SD","San Diego Padres",33.2,2,39,672362.379948466,672362.379948466,1,1,"2016","2016",0,0,0,0,162,68,94,0,0,-26,0,0,1,686,5419,1275,177,770,0.463,0.25,3.93,2.3,5.29,105,248,214,37,49,12,3,13,35,4,0,29,88,2,1,0,4,2,0.229,0.319,0.495,0.814,118,0.345,111,106,"54H6/739D",0,11025,61504,45796,1369,2401,144,9,169,1225,16,0,841,7744,4,1,0,16,4,0.052441,0.101761,0.245025,0.662596,13924,0.119025,12321,11236,0
"Adam Rosales","NH","2017","OAK","Oakland Athletics",34.2,3,40,1250000,1250000,1,1,"2017","2017",0,0,0,0,162,75,87,0,0,-12,0,0,1,739,5464,1344,234,826,0.487,0.259,3.98,-0.7,0.49,105,312,289,25,65,16,0,7,36,1,2,11,100,6,4,4,4,1,0.225,0.26,0.353,0.613,62,0.267,56,102,"65H4/37D",0,11025,97344,83521,625,4225,256,0,49,1296,1,4,121,10000,36,16,16,16,1,0.050625,0.0676,0.124609,0.375769,3844,0.071289,3136,10404,0
"Adam Wainwright","NH","2021","STL","St Louis Cardinals",39.9,1,43,8000000,8000000,0,1,"2021","2021",3,1,1,0,162,90,72,0,1,18,0,0,0,706,5351,1303,198,672,0.521,0.266,3.68,0.2,0.04,33,74,57,1,7,2,0,0,4,0,0,3,25,2,0,14,0,0,0.123,0.167,0.158,0.325,-9,0.166,-35,9,"1/H",0,1089,5476,3249,1,49,4,0,0,16,0,0,9,625,4,0,196,0,0,0.015129,0.027889,0.024964,0.105625,81,0.027556,1225,81,0
"Adam Wainwright","NH","2023","STL","St Louis Cardinals",41.9,3,45,18615381.6220844,18615381.6220844,0,1,"2023","2023",0,0,0,0,162,71,91,0,0,-20,0,0,1,719,5510,1376,209,829,0.52,0.266,3.69,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-100,0,-129,0,"1/HD",0,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000,0,16641,0,0
"Adam Warren","NH","2019","SD","San Diego Padres",32,6.036,46,2500000,2500000,1,1,"2019","2019",0,0,0,0,162,70,92,0,0,-22,0,0,0,682,5391,1281,219,789,0.461,0.249,3.97,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
