Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,SB,CS,CS%,Pos,Awards,-9999
211,Trevor May,29,MIN,AL,2,0,0,1.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,maytr01
212,Gerardo Parra,32,WSN,WS,1,0,0,1.0,0,0,0,0,0,,0.00,0.00,,,,,/H9,,parrage01
213,CC Sabathia,38,NYY,AL,2,0,0,1.0,0,0,0,0,0,,0.00,0.00,,,,,/1,,sabatc.01
214,Cory Spangenberg,28,MIL,NL,1,0,0,1.0,0,0,0,0,0,,0.00,0.00,,,,,/*4,,spangco01
215,Ross Stripling,29,LAD,NL,1,0,0,1.0,1,0,1,0,0,1.000,9.00,1.00,,,,,/1,,stripro01
216,Brent Suter,29,MIL,NL,1,0,0,1.0,0,0,0,0,0,,0.00,0.00,,,,,/*1,,suterbr01
217,Bryan Abreu,22,HOU,AL,1,0,0,0.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,abreubr01
218,Pedro Báez,31,LAD,NL,2,0,0,0.2,0,0,0,0,0,,0.00,0.00,,,,,/1,,baezpe01
219,Jake Diekman,32,OAK,AL,1,0,0,0.1,0,0,0,0,0,,0.00,0.00,,,,,/*1,,diekmja01
220,Zack Littell,23,MIN,AL,2,0,0,0.1,0,0,0,0,0,,0.00,0.00,,,,,/1,,litteza01
,MLB Average,,,,,,,,,,,,,.985,3.86,2.36,,,,12.8,,,-9999
